mean,convex_area,class
3.29171317,1272876,2
0.283126098,61793,2
5.793869217,1283273,2
5.15181108,982357,2
0.787435566,338922,2
2.665359225,498414,2
5.247027446,1312982,2
5.64009233,1089531,2
5.84538966,1729372,2
7.123516132,1518090,2
6.352147232,1548712,2
4.146917733,1335279,2
0,0,2
1.007423349,257775,2
0,0,2
1.805960782,479325,2
2.57329912,828712,2
5.150811257,1192010,2
2.507314172,904999,2
5.291827313,1480958,2
5.029043222,1189580,2
1.510138701,399685,2
1.634424603,357159,2
2.580928096,679910,2
2.346365553,785386,2
0.873802405,599781,2
4.604030028,1553672,2
2.378500406,1103853,2
3.609188797,1134772,2
5.93185623,1386129,2
3.868687843,1079841,2
1.790930561,790133,2
3.337164566,853054,2
