area,perimeter,compactness,mean,stddev,bbox,convex_area,eccentricity,centroid,equv_diam,euler_number,solidity,contrast,dissimilarity,homogeneity,energy,correlation,simple_entropy,class
228878,57119,0.249560901,13.03063245,56.15170427,2638998,2014097,0.402155538,"(858.4970246157342, 1336.0442375413977)",539.8300849,-88,0.113638022,407.3531777,1.597463442,0.993735534,0.946974528,0.935426151,0.201742994,0
254828,65344,0.256423941,14.50803487,59.06831483,2661762,2054451,0.314223241,"(868.3664981870124, 1276.754336258182)",569.6113471,-98,0.12403703,469.5134601,1.841229255,0.992779604,0.940998466,0.932740843,0.218335024,0
234289,56005,0.239042379,13.33869505,56.77540358,2566340,2034191,0.293761107,"(873.9416105749737, 1282.6876805996014)",546.173983,-44,0.115175517,400.1205093,1.569100036,0.993846761,0.945887701,0.937958538,0.205257497,0
180536,43913,0.243236806,10.27839399,50.15321609,2382724,1915821,0.445441888,"(867.4370042539992, 1435.2574555767271)",479.4429835,-98,0.094234273,321.3163756,1.260064218,0.995058648,0.957960807,0.936152375,0.168919941,0
218142,52716,0.241659103,13.83307123,57.75880282,2293110,1844256,0.452164947,"(871.907661064811, 1319.72570619138)",527.0170972,-35,0.118281844,416.4909409,1.633297808,0.993595009,0.943921362,0.937601662,0.210836265,0
201212,50781,0.252375604,11.45553359,52.81980514,2563005,2025056,0.534489564,"(910.955638828698, 1339.3065622328688)",506.1532132,-58,0.099361203,373.6007253,1.465100883,0.994254595,0.953123762,0.933069445,0.18328785,0
252564,57651,0.228262935,14.37913934,58.82109216,2656900,2037538,0.524699548,"(871.5634848988772, 1267.2189979569534)",567.0753675,-74,0.12395548,410.19977,1.608626549,0.993691758,0.941952581,0.940742724,0.216913278,0
212701,50133,0.235697058,13.48804028,57.07471455,2382182,1900841,0.456706014,"(862.2407134898284, 1166.801754575672)",520.4030403,-44,0.111898365,402.2552527,1.577471579,0.993813932,0.945315163,0.938281155,0.206950651,0
227521,53225,0.23393445,12.95337483,55.99393416,2622708,2026350,0.494539767,"(869.4044242069963, 1218.7492802862153)",538.2274003,-78,0.112281195,368.3141966,1.444369398,0.994335893,0.947574983,0.94128516,0.200856914,0
243269,57654,0.236996905,13.8499503,57.79200813,2626000,2060098,0.372504694,"(853.5156267341914, 1368.8810164879208)",556.5426406,-109,0.11808613,405.5813191,1.590514977,0.993762782,0.943947604,0.93930479,0.211025429,0
283241,72545,0.256124643,16.12566243,62.06453843,2664946,2085677,0.387476157,"(896.8885154338532, 1344.711715464922)",600.5278028,-98,0.135802907,531.1218521,2.082830792,0.991832162,0.934547158,0.931083876,0.235785278,0
274313,65302,0.238056527,17.39505124,64.28958126,2516940,1956495,0.326807716,"(826.3341948795719, 1272.422422561089)",590.9874442,-98,0.140206338,520.8644184,2.042605562,0.991989905,0.929989867,0.937013117,0.248999359,0
204799,48206,0.235382009,11.65975102,53.26618737,2584014,1937408,0.354418693,"(819.7973476432991, 1240.6612678772844)",510.6448722,-76,0.105707729,346.5580977,1.359051364,0.994670469,0.952575015,0.938950336,0.185728486,0
204457,49845,0.243792093,11.64028006,53.22382262,2634065,2010594,0.334006641,"(800.2629452647745, 1207.1237130545787)",510.2183235,-95,0.101689849,372.409804,1.460430604,0.994272909,0.952441493,0.934291823,0.185496423,0
204438,45999,0.225002201,12.96405743,56.01578223,2507466,1909679,0.236651944,"(769.8537943043857, 1188.2987360471145)",510.1946159,-52,0.107053594,372.9750305,1.462647178,0.994264217,0.947496892,0.940589651,0.200979547,0
